Computation Time (32 passwords, rockyou32.txt) on all the default algorithms, 6x AMD Ryzen 5 5600G with Radeon Graphics,Ubuntu 22.04.5 LTS,Python 3.10.12,4 GB RAM
Algorithm,Time
Argon2,3.6603655999999987
PBKDF2-100k,0.6688708000000005
PBKDF2-600k,4.007902299999998
PBKDF2-1m,6.7575920999999965
Scrypt-Mem,9.932129099999997
Scrypt-Balanced,6.385378199999998
Scrypt-CPU,4.53720659999999
SHA-256,3.769999999292395e-05
Plaintext,4.799999999249849e-06
